FrameID,Hip.Center.x,Hip.Center.y,Hip.Center.z,Hip.R.x,Hip.R.y,Hip.R.z,Knee.R.x,Knee.R.y,Knee.R.z,Ankle.R.x,Ankle.R.y,Ankle.R.z,Toe0Nub.R.x,Toe0Nub.R.y,Toe0Nub.R.z,Hip.L.x,Hip.L.y,Hip.L.z,Knee.L.x,Knee.L.y,Knee.L.z,Ankle.L.x,Ankle.L.y,Ankle.L.z,Toe0Nub.L.x,Toe0Nub.L.y,Toe0Nub.L.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,HeadNub.x,HeadNub.y,HeadNub.z,Shoulder.L.x,Shoulder.L.y,Shoulder.L.z,Elbow.L.x,Elbow.L.y,Elbow.L.z,Wrist.L.x,Wrist.L.y,Wrist.L.z,Shoulder.R.x,Shoulder.R.y,Shoulder.R.z,Elbow.R.x,Elbow.R.y,Elbow.R.z,Wrist.R.x,Wrist.R.y,Wrist.R.z
0,-0.1495327,-7.369814,0.03761752,-0.2137314,-7.301919,0.03493793,-0.4785187,-7.510602,0.3886426,-0.4403853,-7.526942,0.8936399,-0.65883,-7.664646,1.005946,-0.08533407,-7.437708,0.04029724,-0.1309918,-7.592754,0.5014306,0.1559795,-7.178098,0.4519215,0.2815178,-7.097974,0.6907022,-0.1717932,-7.395267,-0.07408448,-0.2015843,-7.422093,-0.2399941,-0.2276949,-7.437429,-0.4079653,-0.2366628,-7.435194,-0.5843307,-0.2747383,-7.470822,-0.6401161,-0.2887003,-7.488996,-0.870399,-0.3393368,-7.277058,-0.5102757,-0.3152533,-7.092136,-0.2004866,-0.3871334,-7.123636,0.08175785,-0.07366063,-7.544503,-0.5337811,0.09697586,-7.562533,-0.2154992,0.005159275,-7.823781,-0.119897
1,-0.1495327,-7.369814,0.03761752,-0.2137314,-7.301919,0.03493793,-0.4785187,-7.510602,0.3886426,-0.4403853,-7.526942,0.8936399,-0.65883,-7.664646,1.005946,-0.08533407,-7.437708,0.04029724,-0.1309918,-7.592754,0.5014306,0.1559795,-7.178098,0.4519215,0.2815178,-7.097974,0.6907022,-0.1717932,-7.395267,-0.07408448,-0.2015843,-7.422093,-0.2399941,-0.2276949,-7.437429,-0.4079653,-0.2366628,-7.435194,-0.5843307,-0.2747383,-7.470822,-0.6401161,-0.2887003,-7.488996,-0.870399,-0.3393368,-7.277058,-0.5102757,-0.3152533,-7.092136,-0.2004866,-0.3871334,-7.123636,0.08175785,-0.07366063,-7.544503,-0.5337811,0.09697586,-7.562533,-0.2154992,0.005159275,-7.823781,-0.119897
2,-0.3014427,-7.513913,0.05239872,-0.3637854,-7.444308,0.04978201,-0.6185176,-7.619162,0.4283391,-0.4416213,-7.525103,0.8937466,-0.6593357,-7.664023,1.005602,-0.2391001,-7.583518,0.05501556,-0.414655,-7.857752,0.4193561,-0.1205942,-7.450184,0.4838565,-0.02241707,-7.408155,0.7442228,-0.3230289,-7.537449,-0.05985384,-0.3498694,-7.562253,-0.226587,-0.381852,-7.580988,-0.3931925,-0.3995405,-7.580082,-0.5689096,-0.434672,-7.62087,-0.6230692,-0.4528493,-7.643292,-0.8526828,-0.5199403,-7.438353,-0.4889015,-0.5337717,-7.284129,-0.1621464,-0.6085321,-7.347527,0.1139198,-0.2183961,-7.663947,-0.5330082,-0.02768876,-7.663178,-0.2258021,-0.1108513,-7.939836,-0.177163
3,-0.4583907,-7.671736,0.04390981,-0.5190742,-7.60066,0.04190142,-0.709206,-7.701084,0.4806871,-0.4497997,-7.534628,0.8828618,-0.6643626,-7.666986,1.004478,-0.3977073,-7.742812,0.04591826,-0.6305097,-8.084303,0.3065998,-0.3591255,-7.71224,0.5179361,-0.3075639,-7.72596,0.7942494,-0.4830802,-7.69594,-0.06755413,-0.5076441,-7.722006,-0.2344454,-0.5366727,-7.743829,-0.4012159,-0.5530758,-7.744882,-0.5770568,-0.5835791,-7.789016,-0.6313971,-0.6076488,-7.813252,-0.8602829,-0.6871637,-7.615544,-0.4981404,-0.7173274,-7.468918,-0.1689954,-0.7976565,-7.586413,0.08705752,-0.3641495,-7.811165,-0.5449009,-0.1381715,-7.80237,-0.2627628,-0.2161875,-8.08218,-0.30072
4,-0.617236,-7.834208,0.02792341,-0.6763718,-7.761822,0.02674251,-0.7480833,-7.754228,0.5100309,-0.4603894,-7.542001,0.8691068,-0.6648457,-7.666702,1.005775,-0.5581003,-7.906596,0.02910443,-0.8060081,-8.277,0.2293794,-0.5860431,-7.97718,0.573569,-0.589103,-8.054418,0.8441626,-0.6471262,-7.860385,-0.08180258,-0.6698944,-7.889449,-0.2484507,-0.6915774,-7.91312,-0.4160836,-0.7015845,-7.91531,-0.5923941,-0.7268885,-7.961504,-0.6476845,-0.7568313,-7.986007,-0.8758476,-0.8470123,-7.795782,-0.5185581,-0.8861693,-7.643291,-0.1930452,-0.9670036,-7.8143,0.03065686,-0.509685,-7.970391,-0.5576882,-0.2460999,-7.967214,-0.3101843,-0.3398297,-8.217439,-0.4302805
5,-0.7755741,-7.997507,0.008895863,-0.833317,-7.923995,0.008637284,-0.8011659,-7.825044,0.4860708,-0.502807,-7.578107,0.8127937,-0.6669441,-7.669285,1.008025,-0.7178314,-8.071019,0.00915456,-0.9601908,-8.442766,0.2136876,-0.8022606,-8.228937,0.6450559,-0.8546692,-8.363546,0.8865713,-0.8110723,-8.025732,-0.09862415,-0.8321882,-8.058243,-0.2648487,-0.8460048,-8.083365,-0.4331024,-0.8488744,-8.086482,-0.609659,-0.8692034,-8.13419,-0.6657106,-0.9030142,-8.158516,-0.893352,-1.003646,-7.975475,-0.5420766,-1.051322,-7.814368,-0.2218937,-1.124595,-8.031352,-0.0392187,-0.6554534,-8.132454,-0.571485,-0.3465932,-8.144345,-0.3838433,-0.457294,-8.357135,-0.552031
6,-0.9310002,-8.157807,-0.008716137,-0.9875809,-8.0834,-0.008003102,-0.8878853,-7.924072,0.4430435,-0.5868161,-7.652648,0.747067,-0.6587657,-7.664337,1.005644,-0.8744197,-8.232215,-0.009429173,-1.100751,-8.58881,0.2362982,-1.01524,-8.463023,0.7196295,-1.10736,-8.642286,0.9160339,-0.9708739,-8.187075,-0.1144044,-0.9900973,-8.222185,-0.2803269,-0.997722,-8.248739,-0.4487551,-0.9952958,-8.252796,-0.6252994,-1.011139,-8.301867,-0.6816208,-1.048819,-8.325172,-0.9087608,-1.158041,-8.150749,-0.5628054,-1.213243,-7.975597,-0.2513252,-1.266149,-8.222241,-0.1023677,-0.7999376,-8.287562,-0.5866469,-0.4597975,-8.303375,-0.4649922,-0.5889415,-8.478829,-0.6608461
7,-1.081419,-8.313533,-0.02624046,-1.136961,-8.238374,-0.02413041,-1.006428,-8.051218,0.4079596,-0.6955854,-7.764048,0.686623,-0.6628953,-7.701786,0.9629791,-1.025876,-8.388692,-0.02835039,-1.232097,-8.715217,0.2710191,-1.218767,-8.656672,0.7741475,-1.344456,-8.866519,0.9132964,-1.124293,-8.342235,-0.1309027,-1.141444,-8.37885,-0.2967263,-1.144147,-8.406384,-0.4651479,-1.137769,-8.410975,-0.6415803,-1.149601,-8.461084,-0.6979737,-1.189216,-8.481113,-0.9250969,-1.307166,-8.318016,-0.582969,-1.372725,-8.122673,-0.2858352,-1.396234,-8.381117,-0.1499126,-0.9403021,-8.431293,-0.6061029,-0.5892338,-8.449952,-0.521557,-0.7264746,-8.600415,-0.7321437
8,-1.228085,-8.466195,-0.04388937,-1.283166,-8.390747,-0.04042474,-1.138066,-8.188784,0.3801996,-0.8177834,-7.890439,0.6354498,-0.7248967,-7.798131,0.8868175,-1.173005,-8.541643,-0.04735363,-1.360996,-8.828377,0.3007996,-1.414576,-8.819638,0.8045817,-1.558857,-9.044687,0.8925118,-1.272251,-8.493594,-0.1483633,-1.287506,-8.530483,-0.3143108,-1.286217,-8.55836,-0.482693,-1.276227,-8.563101,-0.6589539,-1.285502,-8.613633,-0.715448,-1.32428,-8.626697,-0.9432225,-1.449188,-8.474794,-0.6038874,-1.527246,-8.254639,-0.3278732,-1.520726,-8.511962,-0.1880039,-1.078155,-8.574039,-0.6269006,-0.7238938,-8.605919,-0.5618775,-0.8658107,-8.728598,-0.7868894
9,-1.373623,-8.616601,-0.05553298,-1.429793,-8.541962,-0.05204165,-1.308712,-8.348072,0.3798305,-0.9674327,-8.034196,0.5841678,-0.853659,-7.936996,0.8225032,-1.317453,-8.691241,-0.05902395,-1.484639,-8.902398,0.3486884,-1.603991,-8.972768,0.836076,-1.756451,-9.204941,0.8813225,-1.415542,-8.643165,-0.1611425,-1.428573,-8.678599,-0.3275952,-1.42315,-8.705702,-0.4960212,-1.408124,-8.709898,-0.6719386,-1.417004,-8.759923,-0.7289451,-1.448737,-8.76766,-0.9580488,-1.580211,-8.617352,-0.6214489,-1.678413,-8.402742,-0.3475068,-1.650691,-8.666398,-0.2228554,-1.211102,-8.725629,-0.6387573,-0.8633795,-8.791539,-0.5646626,-1.003081,-8.876045,-0.8078971
